Vernier Format 2
20250227_Part1_EMPIRE_Run4	15:18  Thursday, February 27, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	45.352371216	0.343400002
2.000000000	45.123210907	0.345600009
4.000000000	44.432422638	0.352300018
6.000000000	43.691806793	0.359600008
8.000000000	43.151905060	0.365000039
10.000000000	42.618679047	0.370400012
12.000000000	42.140533447	0.375299960
14.000000000	41.591060638	0.381000012
16.000000000	41.058208466	0.386600018
18.000000000	40.383132935	0.393799990
20.000000000	39.783226013	0.400299996
22.000000000	39.156150818	0.407200009
24.000000000	38.583354950	0.413599998
26.000000000	38.132915497	0.418699980
28.000000000	37.609710693	0.424700022
30.000000000	37.162078857	0.429899991
32.000000000	36.643756866	0.436000019
34.000000000	36.215961456	0.441099972
36.000000000	35.793155670	0.446200013
38.000000000	35.326450348	0.451900005
40.000000000	34.930110931	0.456800044
42.000000000	34.546176910	0.461600006
44.000000000	34.095729828	0.467299998
46.000000000	33.720966339	0.472099990
48.000000000	33.342639923	0.477000028
50.000000000	32.983745575	0.481700033
52.000000000	32.561168671	0.487300009
54.000000000	32.218105316	0.491899997
56.000000000	31.878656387	0.496499985
58.000000000	31.571847916	0.500699997
60.000000000	31.253595352	0.505100012
62.000000000	30.945676804	0.509400010
64.000000000	30.598491669	0.514299989
66.000000000	30.290050507	0.518700004
68.000000000	29.998533249	0.522899985
70.000000000	29.702980042	0.527199984
72.000000000	29.417108536	0.531400025
74.000000000	29.140701294	0.535499990
76.000000000	28.853599548	0.539799988
78.000000000	28.575902939	0.544000030
80.000000000	28.340011597	0.547599971
82.000000000	28.034965515	0.552299976
84.000000000	27.797132492	0.555999994
86.000000000	27.618495941	0.558799982
88.000000000	27.415742874	0.561999977
90.000000000	27.208211899	0.565299988
92.000000000	26.989822388	0.568799973
94.000000000	26.785516739	0.572099984
96.000000000	26.588878632	0.575299978
98.000000000	26.405839920	0.578299999
100.000000000	26.260320663	0.580699980
102.000000000	26.091554642	0.583500028
104.000000000	25.941791534	0.586000025
106.000000000	25.775077820	0.588800013
108.000000000	25.638936996	0.591099977
110.000000000	25.491771698	0.593599975
112.000000000	25.351285934	0.596000016
114.000000000	25.240619659	0.597899973
116.000000000	25.136222839	0.599699974
118.000000000	25.038019180	0.601400018
120.000000000	24.917243958	0.603500009
122.000000000	24.791339874	0.605700016
124.000000000	24.711549759	0.607100010
126.000000000	24.671752930	0.607800007
128.000000000	24.626346588	0.608600020
130.000000000	24.592348099	0.609200001
132.000000000	24.552742004	0.609899998
134.000000000	24.620677948	0.608699977
136.000000000	24.620677948	0.608699977
138.000000000	24.626346588	0.608600020
140.000000000	24.643365860	0.608299971
142.000000000	24.654716492	0.608099997
144.000000000	24.683118820	0.607599974
146.000000000	24.717241287	0.606999993
148.000000000	24.757112503	0.606299996
150.000000000	24.802761078	0.605499983
152.000000000	24.854211807	0.604600012
154.000000000	24.900037766	0.603799999
156.000000000	24.968935013	0.602599978
158.000000000	25.038019180	0.601400018
160.000000000	25.107299805	0.600199997
162.000000000	25.159381866	0.599300027
164.000000000	25.240619659	0.597899973
166.000000000	25.316286087	0.596599996
168.000000000	25.374645233	0.595600009
170.000000000	25.456575394	0.594200015
172.000000000	25.527013779	0.592999995
174.000000000	25.603538513	0.591700017
176.000000000	25.662563324	0.590699971
178.000000000	25.739494324	0.589399993
180.000000000	25.816656113	0.588100016
