Vernier Format 2
20250319_RedDelicious_Run14.SBL	14:07  Wednesday, March 19, 2025
Run 2
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	100.000000000	0.000000000
2.000000000	100.000000000	0.000000000
4.000000000	100.000000000	0.000000000
6.000000000	100.000000000	0.000000000
8.000000000	89.846260071	0.046499997
10.000000000	89.866950989	0.046399992
12.000000000	89.887641907	0.046300013
14.000000000	89.887641907	0.046300013
16.000000000	89.866950989	0.046399992
18.000000000	89.866950989	0.046399992
20.000000000	89.866950989	0.046399992
22.000000000	89.846260071	0.046499997
24.000000000	89.846260071	0.046499997
26.000000000	89.846260071	0.046499997
28.000000000	89.825576782	0.046599984
30.000000000	89.784217834	0.046799995
32.000000000	89.784217834	0.046799995
34.000000000	89.784217834	0.046799995
36.000000000	89.763542175	0.046900019
38.000000000	89.722221375	0.047099981
40.000000000	89.701560974	0.047199998
42.000000000	89.701560974	0.047199998
44.000000000	89.701560974	0.047199998
46.000000000	89.701560974	0.047199998
48.000000000	89.701560974	0.047199998
50.000000000	89.701560974	0.047199998
52.000000000	89.680908203	0.047300003
54.000000000	89.660263062	0.047399990
56.000000000	89.660263062	0.047399990
58.000000000	89.639617920	0.047500003
60.000000000	89.639617920	0.047500003
62.000000000	89.618980408	0.047600001
64.000000000	89.618980408	0.047600001
66.000000000	89.618980408	0.047600001
68.000000000	89.618980408	0.047600001
70.000000000	89.618980408	0.047600001
72.000000000	89.598350525	0.047699984
74.000000000	89.598350525	0.047699984
76.000000000	89.577720642	0.047799993
78.000000000	89.577720642	0.047799993
80.000000000	89.557098389	0.047899988
82.000000000	89.536476135	0.048000000
84.000000000	89.495254517	0.048199993
86.000000000	89.495254517	0.048199993
88.000000000	89.495254517	0.048199993
90.000000000	89.495254517	0.048199993
92.000000000	89.474647522	0.048300005
94.000000000	89.454048157	0.048400000
96.000000000	89.454048157	0.048400000
98.000000000	89.433456421	0.048499983
100.000000000	89.412864685	0.048599992
102.000000000	89.392280579	0.048699982
104.000000000	89.392280579	0.048699982
106.000000000	89.371696472	0.048799999
108.000000000	89.351119995	0.048900001
110.000000000	89.330551147	0.048999988
112.000000000	89.330551147	0.048999988
114.000000000	89.309982300	0.049099997
116.000000000	89.289421082	0.049199995
118.000000000	89.289421082	0.049199995
120.000000000	89.268859863	0.049300011
122.000000000	89.248306274	0.049400017
124.000000000	89.227760315	0.049500007
126.000000000	89.207221985	0.049599987
128.000000000	89.186683655	0.049699984
130.000000000	89.166145325	0.049800009
132.000000000	89.145614624	0.049900018
134.000000000	89.125091553	0.050000012
136.000000000	89.104576111	0.050099991
138.000000000	89.084060669	0.050199997
140.000000000	89.063552856	0.050299983
142.000000000	89.063552856	0.050299983
