Vernier Format 2
20250319_RedDelicious_Run14c.SBL	14:13  Wednesday, March 19, 2025
Run 3
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	100.000000000	0.000000000
2.000000000	100.000000000	0.000000000
4.000000000	100.000000000	0.000000000
6.000000000	64.298377991	0.191799983
8.000000000	64.002952576	0.193799987
10.000000000	63.679553986	0.195999980
12.000000000	63.357788086	0.198199987
14.000000000	63.008625031	0.200599998
16.000000000	62.646961212	0.203099996
18.000000000	62.273029327	0.205700010
20.000000000	61.787410736	0.209100008
22.000000000	61.249141693	0.212899998
24.000000000	60.967727661	0.214899987
26.000000000	60.701580048	0.216800004
28.000000000	60.283714294	0.219799995
30.000000000	60.034378052	0.221599981
32.000000000	59.841159821	0.223000005
34.000000000	59.333503723	0.226700008
36.000000000	58.870807648	0.230100006
38.000000000	58.357948303	0.233899981
40.000000000	57.929527283	0.237100020
42.000000000	57.517501831	0.240199983
44.000000000	56.990177155	0.244199991
46.000000000	56.545753479	0.247600004
48.000000000	56.053146362	0.251399994
50.000000000	55.680099487	0.254299998
52.000000000	55.284069061	0.257400006
54.000000000	54.890853882	0.260500014
56.000000000	54.500438690	0.263599992
58.000000000	54.075431824	0.266999990
60.000000000	53.727916718	0.269800007
62.000000000	53.419521332	0.272300005
64.000000000	53.137363434	0.274599999
66.000000000	52.832359314	0.277099997
68.000000000	52.492828369	0.279900014
70.000000000	52.143478394	0.282799989
72.000000000	51.736854553	0.286199987
74.000000000	51.297946930	0.289900005
76.000000000	50.921360016	0.293099999
78.000000000	50.652397156	0.295399994
80.000000000	50.303707123	0.298400015
82.000000000	50.038005829	0.300700009
84.000000000	49.819572449	0.302599996
86.000000000	49.533611298	0.305099994
88.000000000	49.226619720	0.307799995
90.000000000	48.921527863	0.310499996
92.000000000	48.517677307	0.314099997
94.000000000	48.272521973	0.316300005
96.000000000	47.962299347	0.319099993
98.000000000	47.719951630	0.321300000
100.000000000	47.424198151	0.324000001
102.000000000	47.130275726	0.326700032
104.000000000	46.816612244	0.329600006
106.000000000	46.569332123	0.331900001
108.000000000	46.270053864	0.334699988
110.000000000	46.036258698	0.336899966
112.000000000	45.803642273	0.339099973
114.000000000	45.530246735	0.341699988
116.000000000	45.279331207	0.344099998
118.000000000	45.009063721	0.346700013
120.000000000	44.730110168	0.349400043
122.000000000	44.452888489	0.352100015
124.000000000	44.187557220	0.354699999
126.000000000	43.923809052	0.357300013
128.000000000	43.732067108	0.359200001
130.000000000	43.551185608	0.361000031
132.000000000	43.371055603	0.362800002
134.000000000	43.171783447	0.364800006
136.000000000	42.904216766	0.367500007
138.000000000	42.667778015	0.369899958
140.000000000	42.461956024	0.372000009
142.000000000	42.286331177	0.373799980
144.000000000	42.121128082	0.375499994
146.000000000	41.946914673	0.377299964
148.000000000	41.734958649	0.379500002
150.000000000	41.533641815	0.381599993
152.000000000	41.333290100	0.383700013
154.000000000	41.105506897	0.386099994
156.000000000	40.860153198	0.388700008
158.000000000	40.625617981	0.391200006
160.000000000	40.392433167	0.393699974
162.000000000	40.169830322	0.396100014
164.000000000	39.874935150	0.399300009
166.000000000	39.582206726	0.402500004
168.000000000	39.373134613	0.404799998
170.000000000	39.192230225	0.406800032
172.000000000	39.012161255	0.408799976
174.000000000	38.868698120	0.410400003
176.000000000	38.779304504	0.411399990
178.000000000	38.663394928	0.412700027
180.000000000	38.503482819	0.414499998
