Vernier Format 2
20250319_RedDelicious_Run23b.SBL	14:56  Wednesday, March 19, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	100.000000000	0.000000000
2.000000000	100.000000000	0.000000000
4.000000000	100.000000000	0.000000000
6.000000000	62.129806519	0.206699997
8.000000000	61.489364624	0.211199999
10.000000000	61.150497437	0.213600010
12.000000000	60.743526459	0.216499999
14.000000000	60.394863129	0.218999997
16.000000000	60.048202515	0.221499994
18.000000000	59.621101379	0.224600002
20.000000000	59.237945557	0.227400005
22.000000000	58.843704224	0.230299994
24.000000000	58.344509125	0.234000012
26.000000000	57.929527283	0.237100020
28.000000000	57.451316833	0.240700006
30.000000000	56.950824738	0.244499981
32.000000000	56.532733917	0.247700006
34.000000000	56.104797363	0.250999987
36.000000000	55.769916534	0.253600001
38.000000000	55.437038422	0.256199986
40.000000000	55.042736053	0.259299994
42.000000000	54.663822174	0.262300014
44.000000000	54.362571716	0.264699996
46.000000000	54.000774384	0.267600000
48.000000000	53.456432343	0.272000015
50.000000000	52.917583466	0.276400000
52.000000000	52.396224976	0.280699998
54.000000000	51.987628937	0.284099996
56.000000000	51.522865295	0.287999988
58.000000000	51.097541809	0.291599989
60.000000000	50.675727844	0.295199990
62.000000000	50.326877594	0.298200011
64.000000000	49.945919037	0.301499993
66.000000000	49.636367798	0.304199994
68.000000000	49.328739166	0.306899995
70.000000000	48.887744904	0.310799986
72.000000000	48.595939636	0.313400030
74.000000000	48.428386688	0.314900011
76.000000000	48.228080750	0.316700011
78.000000000	47.995441437	0.318800002
80.000000000	47.665046692	0.321799964
82.000000000	47.238922119	0.325700015
84.000000000	46.913734436	0.328700006
86.000000000	46.505035400	0.332500011
88.000000000	46.195537567	0.335399985
90.000000000	45.824737549	0.338900000
92.000000000	45.519763947	0.341800004
94.000000000	45.279331207	0.344099998
96.000000000	44.977985382	0.347000003
98.000000000	44.740413666	0.349299997
100.000000000	44.463127136	0.351999998
102.000000000	44.106235504	0.355500013
104.000000000	43.812698364	0.358399987
106.000000000	43.531135559	0.361200005
108.000000000	43.341106415	0.363099992
110.000000000	43.112182617	0.365399987
112.000000000	42.894340515	0.367599994
114.000000000	42.667778015	0.369899958
116.000000000	42.442405701	0.372200012
118.000000000	42.208507538	0.374599993
120.000000000	41.995231628	0.376800030
122.000000000	41.792659760	0.378899992
124.000000000	41.638973236	0.380499989
126.000000000	41.428577423	0.382699966
128.000000000	41.285732269	0.384200007
130.000000000	41.133911133	0.385800004
132.000000000	40.926063538	0.388000011
134.000000000	40.700523376	0.390399992
136.000000000	40.504192352	0.392500013
138.000000000	40.280979156	0.394899994
140.000000000	40.049766541	0.397400022
142.000000000	39.755756378	0.400599986
144.000000000	39.509361267	0.403299987
146.000000000	39.309726715	0.405499965
148.000000000	39.021144867	0.408699989
150.000000000	38.832916260	0.410799980
152.000000000	38.672298431	0.412600011
154.000000000	38.503482819	0.414499998
156.000000000	38.432621002	0.415300012
158.000000000	38.344226837	0.416300029
160.000000000	38.212020874	0.417799979
162.000000000	38.080268860	0.419299990
164.000000000	37.879127502	0.421600044
166.000000000	37.696411133	0.423700005
168.000000000	37.514572144	0.425799996
170.000000000	37.368011475	0.427500010
172.000000000	37.264904022	0.428700000
174.000000000	37.162078857	0.429899991
176.000000000	37.033946991	0.431400001
178.000000000	36.889266968	0.433099985
180.000000000	36.702869415	0.435299993
