Vernier Format 2
20250319_RedDelicious_Run27.SBL	15:21  Wednesday, March 19, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	100.000000000	0.000000000
2.000000000	100.000000000	0.000000000
4.000000000	100.000000000	0.000000000
6.000000000	62.574874878	0.203600004
8.000000000	62.661388397	0.202999979
10.000000000	62.661388397	0.202999979
12.000000000	62.704685211	0.202700004
14.000000000	62.762466431	0.202299997
16.000000000	62.863708496	0.201600000
18.000000000	62.863708496	0.201600000
20.000000000	62.878185272	0.201499999
22.000000000	62.878185272	0.201499999
24.000000000	62.921634674	0.201200008
26.000000000	62.950618744	0.200999990
28.000000000	62.979614258	0.200800002
30.000000000	63.066684723	0.200199991
32.000000000	63.153873444	0.199600011
34.000000000	63.241184235	0.199000001
36.000000000	63.284885406	0.198699996
38.000000000	63.255748749	0.198899999
40.000000000	63.197513580	0.199300006
42.000000000	63.182964325	0.199400008
44.000000000	63.124797821	0.199800000
46.000000000	63.052165985	0.200299993
48.000000000	63.095733643	0.200000003
50.000000000	63.182964325	0.199400008
52.000000000	63.139335632	0.199699998
54.000000000	63.052165985	0.200299993
56.000000000	62.994117737	0.200700000
58.000000000	62.892665863	0.201399997
60.000000000	62.878185272	0.201499999
62.000000000	62.892665863	0.201399997
64.000000000	62.921634674	0.201200008
66.000000000	62.936122894	0.201100022
68.000000000	62.936122894	0.201100022
70.000000000	62.805835724	0.202000007
72.000000000	62.733570099	0.202500001
74.000000000	62.646961212	0.203099996
76.000000000	62.589286804	0.203500003
78.000000000	62.546066284	0.203799993
80.000000000	62.459712982	0.204400018
82.000000000	62.416584015	0.204700008
84.000000000	62.359123230	0.205100000
86.000000000	62.344764709	0.205200016
88.000000000	62.430957794	0.204600006
90.000000000	62.459712982	0.204400018
92.000000000	62.459712982	0.204400018
94.000000000	62.488487244	0.204199985
96.000000000	62.502876282	0.204099998
98.000000000	62.445335388	0.204500005
100.000000000	62.387847900	0.204899997
102.000000000	62.258693695	0.205799997
104.000000000	62.201377869	0.206199989
106.000000000	62.172737122	0.206400007
108.000000000	62.172737122	0.206400007
110.000000000	62.129806519	0.206699997
112.000000000	62.158424377	0.206500009
114.000000000	62.086902618	0.207000002
116.000000000	62.001186371	0.207599998
118.000000000	61.858589172	0.208599985
120.000000000	61.844345093	0.208700001
122.000000000	61.858589172	0.208599985
124.000000000	61.944107056	0.208000004
126.000000000	61.972640991	0.207800001
128.000000000	61.958370209	0.207900017
130.000000000	61.944107056	0.208000004
132.000000000	61.915588379	0.208199993
134.000000000	61.872833252	0.208499998
136.000000000	61.773185730	0.209199995
138.000000000	61.744743347	0.209400013
140.000000000	61.702106476	0.209700003
142.000000000	61.687900543	0.209800005
144.000000000	61.616920471	0.210300013
146.000000000	61.588554382	0.210499987
148.000000000	61.546024323	0.210799992
150.000000000	61.503524780	0.211099997
152.000000000	61.503524780	0.211099997
154.000000000	61.489364624	0.211199999
156.000000000	61.475208282	0.211299986
158.000000000	61.446903229	0.211500004
160.000000000	61.432754517	0.211600006
162.000000000	61.376201630	0.211999997
164.000000000	61.305580139	0.212499991
166.000000000	61.305580139	0.212499991
168.000000000	61.235038757	0.213000000
170.000000000	61.206844330	0.213200018
172.000000000	61.220939636	0.213100016
174.000000000	61.206844330	0.213200018
176.000000000	61.206844330	0.213200018
178.000000000	61.206844330	0.213200018
180.000000000	61.136421204	0.213699982
